"nta_id","nta_name","state_fips","county_fips","county_name","borough_name","borough_id","puma_id","puma_name","neighborhood","complaint_n","ebird_checklists","ebird_pigeon_total","local_moran_i","local_moran_p","local_moran_sig"
"MN01","Marble Hill-Inwood","36","061","New York","Manhattan","1","3801","Manhattan Community District 12--Washington Heights, Inwood & Marble Hill","Manhattan Community District 12--Washington Heights, Inwood & Marble Hill",165,4110,49971,0.141784826080471,0.184311565563745,"Not significant"
"MN03","Central Harlem North-Polo Grounds","36","061","New York","Manhattan","1","3803","Manhattan Community District 10--Central Harlem","Manhattan Community District 10--Central Harlem",63,157,1636,-0.119365216448318,0.66645018183627,"Not significant"
"MN04","Hamilton Heights","36","061","New York","Manhattan","1","3802","Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem","Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem",82,2860,32556,-0.361020410362483,0.15389103889089,"Not significant"
"MN06","Manhattanville","36","061","New York","Manhattan","1","3802","Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem","Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem",82,2860,32556,0.299536139759421,0.232984150567897,"Not significant"
"MN09","Morningside Heights","36","061","New York","Manhattan","1","3802","Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem","Manhattan Community District 9--Hamilton Heights, Manhattanville & West Harlem",82,2860,32556,-0.446738116532149,0.0477752773950555,"Significant"
"MN11","Central Harlem South","36","061","New York","Manhattan","1","3803","Manhattan Community District 10--Central Harlem","Manhattan Community District 10--Central Harlem",63,157,1636,-0.114483049905944,0.679574367742942,"Not significant"
"MN12","Upper West Side","36","061","New York","Manhattan","1","3806","Manhattan Community District 7--Upper West Side & West Side","Manhattan Community District 7--Upper West Side & West Side",421,2509,39357,4.68182888350724,0.000670076244718587,"Significant"
"MN13","Hudson Yards-Chelsea-Flatiron-Union Square","36","061","New York","Manhattan","1","3807","Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District",169,9193,213680,0.0679074621571394,0.499112766873874,"Not significant"
"MN14","Lincoln Square","36","061","New York","Manhattan","1","3806","Manhattan Community District 7--Upper West Side & West Side","Manhattan Community District 7--Upper West Side & West Side",421,2509,39357,4.12685190581686,0.000512156232043572,"Significant"
"MN15","Clinton","36","061","New York","Manhattan","1","3807","Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District",169,9193,213680,0.245250218271237,0.0878989736424144,"Not significant"
"MN17","Midtown-Midtown South","36","061","New York","Manhattan","1","3807","Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District","Manhattan Community District 4 & 5--Chelsea, Clinton & Midtown Business District",169,9193,213680,0.289585907299761,0.000856348603084242,"Significant"
"MN19","Turtle Bay-East Midtown","36","061","New York","Manhattan","1","3808","Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town",125,4686,116901,-0.197871698313779,0.00281848182150468,"Significant"
"MN20","Murray Hill-Kips Bay","36","061","New York","Manhattan","1","3808","Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town",125,4686,116901,-0.00267490579912281,0.965114053622237,"Not significant"
"MN21","Gramercy","36","061","New York","Manhattan","1","3808","Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town",125,4686,116901,-0.0361736427568042,0.50227139785857,"Not significant"
"MN22","East Village","36","061","New York","Manhattan","1","3809","Manhattan Community District 3--Chinatown & Lower East Side","Manhattan Community District 3--Chinatown & Lower East Side",341,4308,125319,0.693188554296872,0.272930790694927,"Not significant"
"MN23","West Village","36","061","New York","Manhattan","1","3810","Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho",100,7713,150511,-0.228773713506358,0.142584371760794,"Not significant"
"MN24","SoHo-TriBeCa-Civic Center-Little Italy","36","061","New York","Manhattan","1","3810","Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho",100,7713,150511,-0.244960311227233,0.161277915874978,"Not significant"
"MN25","Battery Park City-Lower Manhattan","36","061","New York","Manhattan","1","3810","Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho","Manhattan Community District 1 & 2--Battery Park City, Greenwich Village & Soho",100,7713,150511,-0.425150738686031,0.0149384991747046,"Significant"
"MN27","Chinatown","36","061","New York","Manhattan","1","3809","Manhattan Community District 3--Chinatown & Lower East Side","Manhattan Community District 3--Chinatown & Lower East Side",341,4308,125319,0.853579519710826,0.258400531650962,"Not significant"
"MN28","Lower East Side","36","061","New York","Manhattan","1","3809","Manhattan Community District 3--Chinatown & Lower East Side","Manhattan Community District 3--Chinatown & Lower East Side",341,4308,125319,1.95806039536627,0.0480135042650058,"Significant"
"MN31","Lenox Hill-Roosevelt Island","36","061","New York","Manhattan","1","3805","Manhattan Community District 8--Upper East Side","Manhattan Community District 8--Upper East Side",475,5816,198110,5.53173633702909,0.000678964033764189,"Significant"
"MN32","Yorkville","36","061","New York","Manhattan","1","3805","Manhattan Community District 8--Upper East Side","Manhattan Community District 8--Upper East Side",475,5816,198110,5.12581373080277,0.00162963227748103,"Significant"
"MN33","East Harlem South","36","061","New York","Manhattan","1","3804","Manhattan Community District 11--East Harlem","Manhattan Community District 11--East Harlem",77,741,10821,-0.927379793961329,0.000150850796454816,"Significant"
"MN34","East Harlem North","36","061","New York","Manhattan","1","3804","Manhattan Community District 11--East Harlem","Manhattan Community District 11--East Harlem",77,741,10821,0.348416305666013,0.269656490699964,"Not significant"
"MN35","Washington Heights North","36","061","New York","Manhattan","1","3801","Manhattan Community District 12--Washington Heights, Inwood & Marble Hill","Manhattan Community District 12--Washington Heights, Inwood & Marble Hill",165,4110,49971,0.30409354116277,0.0140015469410133,"Significant"
"MN36","Washington Heights South","36","061","New York","Manhattan","1","3801","Manhattan Community District 12--Washington Heights, Inwood & Marble Hill","Manhattan Community District 12--Washington Heights, Inwood & Marble Hill",165,4110,49971,0.25227960519419,0.041462999984943,"Significant"
"MN40","Upper East Side-Carnegie Hill","36","061","New York","Manhattan","1","3805","Manhattan Community District 8--Upper East Side","Manhattan Community District 8--Upper East Side",475,5816,198110,4.47041785616652,8.79631285916868e-05,"Significant"
"MN50","Stuyvesant Town-Cooper Village","36","061","New York","Manhattan","1","3808","Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town","Manhattan Community District 6--Murray Hill, Gramercy & Stuyvesant Town",125,4686,116901,-0.107459882303427,0.104915709980189,"Not significant"
"MN99","park-cemetery-etc-Manhattan","36","061","New York","Manhattan","1",NA,NA,NA,578,73985,1139020,1.22892320444123,0.153633372928716,"Not significant"
"BX01","Claremont-Bathgate","36","005","Bronx","Bronx","2","3705","Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont","Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",55,0,0,0.119183038200466,0.659079599413047,"Not significant"
"BX03","Eastchester-Edenwald-Baychester","36","005","Bronx","Bronx","2","3702","Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn","Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn",44,0,0,-0.155519758715244,0.68246367438302,"Not significant"
"BX05","Bedford Park-Fordham North","36","005","Bronx","Bronx","2","3706","Bronx Community District 7--Bedford Park, Fordham North & Norwood","Bronx Community District 7--Bedford Park, Fordham North & Norwood",56,0,0,0.560282431779646,0.0833382744435872,"Not significant"
"BX06","Belmont","36","005","Bronx","Bronx","2","3705","Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont","Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",55,0,0,0.0115872398250453,0.96157940648772,"Not significant"
"BX07","Bronxdale","36","005","Bronx","Bronx","2","3704","Bronx Community District 11--Pelham Parkway, Morris Park & Laconia","Bronx Community District 11--Pelham Parkway, Morris Park & Laconia",65,0,0,-0.272267986786001,0.406983311873749,"Not significant"
"BX08","West Farms-Bronx River","36","005","Bronx","Bronx","2","3709","Bronx Community District 9--Castle Hill, Clason Point & Parkchester","Bronx Community District 9--Castle Hill, Clason Point & Parkchester",124,0,0,0.0596373208071755,0.397086597409704,"Not significant"
"BX09","Soundview-Castle Hill-Clason Point-Harding Park","36","005","Bronx","Bronx","2","3709","Bronx Community District 9--Castle Hill, Clason Point & Parkchester","Bronx Community District 9--Castle Hill, Clason Point & Parkchester",124,0,0,-0.0340110684288984,0.553994519329435,"Not significant"
"BX10","Pelham Bay-Country Club-City Island","36","005","Bronx","Bronx","2","3703","Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville","Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville",77,0,0,-0.478340504947344,0.132641528088633,"Not significant"
"BX13","Co-op City","36","005","Bronx","Bronx","2","3703","Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville","Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville",77,0,0,-0.425568793631598,0.18111737747293,"Not significant"
"BX14","East Concourse-Concourse Village","36","005","Bronx","Bronx","2","3708","Bronx Community District 4--Concourse, Highbridge & Mount Eden","Bronx Community District 4--Concourse, Highbridge & Mount Eden",48,0,0,0.116972069785416,0.687643187955928,"Not significant"
"BX17","East Tremont","36","005","Bronx","Bronx","2","3705","Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont","Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",55,0,0,-0.137753881181868,0.68176369471396,"Not significant"
"BX22","North Riverdale-Fieldston-Riverdale","36","005","Bronx","Bronx","2","3701","Bronx Community District 8--Riverdale, Fieldston & Kingsbridge","Bronx Community District 8--Riverdale, Fieldston & Kingsbridge",65,5,27,-1.03415300946756,0.0258233720443441,"Significant"
"BX26","Highbridge","36","005","Bronx","Bronx","2","3708","Bronx Community District 4--Concourse, Highbridge & Mount Eden","Bronx Community District 4--Concourse, Highbridge & Mount Eden",48,0,0,0.705099580230555,0.211676406067354,"Not significant"
"BX27","Hunts Point","36","005","Bronx","Bronx","2","3710","Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose","Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose",49,0,0,-0.0513583912498863,0.870898480184726,"Not significant"
"BX28","Van Cortlandt Village","36","005","Bronx","Bronx","2","3701","Bronx Community District 8--Riverdale, Fieldston & Kingsbridge","Bronx Community District 8--Riverdale, Fieldston & Kingsbridge",65,5,27,-0.125027285773385,0.672494064485957,"Not significant"
"BX29","Spuyten Duyvil-Kingsbridge","36","005","Bronx","Bronx","2","3701","Bronx Community District 8--Riverdale, Fieldston & Kingsbridge","Bronx Community District 8--Riverdale, Fieldston & Kingsbridge",65,5,27,-0.259712578172522,0.375443835620908,"Not significant"
"BX30","Kingsbridge Heights","36","005","Bronx","Bronx","2","3706","Bronx Community District 7--Bedford Park, Fordham North & Norwood","Bronx Community District 7--Bedford Park, Fordham North & Norwood",56,0,0,0.456564651791432,0.120757081260188,"Not significant"
"BX31","Allerton-Pelham Gardens","36","005","Bronx","Bronx","2","3704","Bronx Community District 11--Pelham Parkway, Morris Park & Laconia","Bronx Community District 11--Pelham Parkway, Morris Park & Laconia",65,0,0,0.0359102246357545,0.875953893453595,"Not significant"
"BX33","Longwood","36","005","Bronx","Bronx","2","3710","Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose","Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose",49,0,0,0.621342242733116,0.113520561840895,"Not significant"
"BX34","Melrose South-Mott Haven North","36","005","Bronx","Bronx","2","3710","Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose","Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose",49,0,0,0.623072185583182,0.112524290625117,"Not significant"
"BX35","Morrisania-Melrose","36","005","Bronx","Bronx","2","3705","Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont","Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",55,0,0,0.0914759656574389,0.733096803880484,"Not significant"
"BX36","University Heights-Morris Heights","36","005","Bronx","Bronx","2","3707","Bronx Community District 5--Morris Heights, Fordham South & Mount Hope","Bronx Community District 5--Morris Heights, Fordham South & Mount Hope",31,0,0,0.807639420928164,0.0537852639255829,"Not significant"
"BX37","Van Nest-Morris Park-Westchester Square","36","005","Bronx","Bronx","2","3704","Bronx Community District 11--Pelham Parkway, Morris Park & Laconia","Bronx Community District 11--Pelham Parkway, Morris Park & Laconia",65,0,0,0.0336274230696674,0.859643269333545,"Not significant"
"BX39","Mott Haven-Port Morris","36","005","Bronx","Bronx","2","3710","Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose","Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose",49,0,0,0.634489808393621,0.0700821494977146,"Not significant"
"BX40","Fordham South","36","005","Bronx","Bronx","2","3707","Bronx Community District 5--Morris Heights, Fordham South & Mount Hope","Bronx Community District 5--Morris Heights, Fordham South & Mount Hope",31,0,0,0.770084676406545,0.0433508450852656,"Significant"
"BX41","Mount Hope","36","005","Bronx","Bronx","2","3707","Bronx Community District 5--Morris Heights, Fordham South & Mount Hope","Bronx Community District 5--Morris Heights, Fordham South & Mount Hope",31,0,0,0.0700752840366633,0.845467481276801,"Not significant"
"BX43","Norwood","36","005","Bronx","Bronx","2","3706","Bronx Community District 7--Bedford Park, Fordham North & Norwood","Bronx Community District 7--Bedford Park, Fordham North & Norwood",56,0,0,-0.3080078947336,0.402368649098932,"Not significant"
"BX44","Williamsbridge-Olinville","36","005","Bronx","Bronx","2","3702","Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn","Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn",44,0,0,-0.13800273174082,0.717408068202921,"Not significant"
"BX46","Parkchester","36","005","Bronx","Bronx","2","3709","Bronx Community District 9--Castle Hill, Clason Point & Parkchester","Bronx Community District 9--Castle Hill, Clason Point & Parkchester",124,0,0,0.0383348850139148,0.585841933450598,"Not significant"
"BX49","Pelham Parkway","36","005","Bronx","Bronx","2","3704","Bronx Community District 11--Pelham Parkway, Morris Park & Laconia","Bronx Community District 11--Pelham Parkway, Morris Park & Laconia",65,0,0,-0.302229757340894,0.356939012696421,"Not significant"
"BX52","Schuylerville-Throgs Neck-Edgewater Park","36","005","Bronx","Bronx","2","3703","Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville","Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville",77,0,0,-0.255739831760924,0.298144453911278,"Not significant"
"BX55","Soundview-Bruckner","36","005","Bronx","Bronx","2","3709","Bronx Community District 9--Castle Hill, Clason Point & Parkchester","Bronx Community District 9--Castle Hill, Clason Point & Parkchester",124,0,0,-0.0345697244400398,0.51474486894074,"Not significant"
"BX59","Westchester-Unionport","36","005","Bronx","Bronx","2","3709","Bronx Community District 9--Castle Hill, Clason Point & Parkchester","Bronx Community District 9--Castle Hill, Clason Point & Parkchester",124,0,0,0.0463001436148731,0.460901466196757,"Not significant"
"BX62","Woodlawn-Wakefield","36","005","Bronx","Bronx","2","3702","Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn","Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn",44,0,0,-0.596364937571598,0.218660405162673,"Not significant"
"BX63","West Concourse","36","005","Bronx","Bronx","2","3708","Bronx Community District 4--Concourse, Highbridge & Mount Eden","Bronx Community District 4--Concourse, Highbridge & Mount Eden",48,0,0,0.691807998431201,0.0508124244149313,"Not significant"
"BX75","Crotona Park East","36","005","Bronx","Bronx","2","3705","Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont","Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont",55,0,0,-0.041748874820281,0.880146792850688,"Not significant"
"BX98","Rikers Island","36","005","Bronx","Bronx","2",NA,NA,NA,578,73985,1139020,0,NA,NA
"BX99","park-cemetery-etc-Bronx","36","005","Bronx","Bronx","2",NA,NA,NA,578,73985,1139020,-2.54638315434986,0.000446963963926472,"Significant"
"BK09","Brooklyn Heights-Cobble Hill","36","047","Kings","Brooklyn","3","4004","Brooklyn Community District 2--Brooklyn Heights & Fort Greene","Brooklyn Community District 2--Brooklyn Heights & Fort Greene",99,0,0,-0.257299637326309,0.15107666861604,"Not significant"
"BK17","Sheepshead Bay-Gerritsen Beach-Manhattan Beach","36","047","Kings","Brooklyn","3","4016","Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest","Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest",110,0,0,-0.187608653471557,0.153361851897207,"Not significant"
"BK19","Brighton Beach","36","047","Kings","Brooklyn","3","4018","Brooklyn Community District 13--Brighton Beach & Coney Island","Brooklyn Community District 13--Brighton Beach & Coney Island",90,0,0,0.161220591150952,0.403513458490375,"Not significant"
"BK21","Seagate-Coney Island","36","047","Kings","Brooklyn","3","4018","Brooklyn Community District 13--Brighton Beach & Coney Island","Brooklyn Community District 13--Brighton Beach & Coney Island",90,0,0,0.19171702890959,0.444457555989677,"Not significant"
"BK23","West Brighton","36","047","Kings","Brooklyn","3","4018","Brooklyn Community District 13--Brighton Beach & Coney Island","Brooklyn Community District 13--Brighton Beach & Coney Island",90,0,0,0.19171702890959,0.444457555989677,"Not significant"
"BK25","Homecrest","36","047","Kings","Brooklyn","3","4016","Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest","Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest",110,0,0,0.0895628582675632,0.360579777800593,"Not significant"
"BK26","Gravesend","36","047","Kings","Brooklyn","3","4018","Brooklyn Community District 13--Brighton Beach & Coney Island","Brooklyn Community District 13--Brighton Beach & Coney Island",90,0,0,0.148259605103531,0.442122047902955,"Not significant"
"BK27","Bath Beach","36","047","Kings","Brooklyn","3","4017","Brooklyn Community District 11--Bensonhurst & Bath Beach","Brooklyn Community District 11--Bensonhurst & Bath Beach",127,0,0,-0.0906350656935456,0.115603231350695,"Not significant"
"BK28","Bensonhurst West","36","047","Kings","Brooklyn","3","4017","Brooklyn Community District 11--Bensonhurst & Bath Beach","Brooklyn Community District 11--Bensonhurst & Bath Beach",127,0,0,0.0209488719115528,0.714987294996187,"Not significant"
"BK29","Bensonhurst East","36","047","Kings","Brooklyn","3","4017","Brooklyn Community District 11--Bensonhurst & Bath Beach","Brooklyn Community District 11--Bensonhurst & Bath Beach",127,0,0,0.0287068522236003,0.575177853426569,"Not significant"
"BK30","Dyker Heights","36","047","Kings","Brooklyn","3","4013","Brooklyn Community District 10--Bay Ridge & Dyker Heights","Brooklyn Community District 10--Bay Ridge & Dyker Heights",108,0,0,-0.131051902609126,0.249911871239305,"Not significant"
"BK31","Bay Ridge","36","047","Kings","Brooklyn","3","4013","Brooklyn Community District 10--Bay Ridge & Dyker Heights","Brooklyn Community District 10--Bay Ridge & Dyker Heights",108,0,0,-0.159363531969298,0.202471406398115,"Not significant"
"BK32","Sunset Park West","36","047","Kings","Brooklyn","3","4012","Brooklyn Community District 7--Sunset Park & Windsor Terrace","Brooklyn Community District 7--Sunset Park & Windsor Terrace",107,0,0,-0.119548686401184,0.308899337170723,"Not significant"
"BK33","Carroll Gardens-Columbia Street-Red Hook","36","047","Kings","Brooklyn","3","4005","Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook","Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook",113,0,0,-0.121862429086441,0.248787700106675,"Not significant"
"BK34","Sunset Park East","36","047","Kings","Brooklyn","3","4012","Brooklyn Community District 7--Sunset Park & Windsor Terrace","Brooklyn Community District 7--Sunset Park & Windsor Terrace",107,0,0,-0.159251584201448,0.216754412111383,"Not significant"
"BK35","Stuyvesant Heights","36","047","Kings","Brooklyn","3","4003","Brooklyn Community District 3--Bedford-Stuyvesant","Brooklyn Community District 3--Bedford-Stuyvesant",35,0,0,0.594917905030044,0.18778318988752,"Not significant"
"BK37","Park Slope-Gowanus","36","047","Kings","Brooklyn","3","4005","Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook","Brooklyn Community District 6--Park Slope, Carroll Gardens & Red Hook",113,0,0,-0.0573189435321705,0.519877094657952,"Not significant"
"BK38","DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill","36","047","Kings","Brooklyn","3","4004","Brooklyn Community District 2--Brooklyn Heights & Fort Greene","Brooklyn Community District 2--Brooklyn Heights & Fort Greene",99,0,0,-0.188129443816579,0.239733464726064,"Not significant"
"BK40","Windsor Terrace","36","047","Kings","Brooklyn","3","4012","Brooklyn Community District 7--Sunset Park & Windsor Terrace","Brooklyn Community District 7--Sunset Park & Windsor Terrace",107,0,0,-0.1405777636259,0.2757265266217,"Not significant"
"BK41","Kensington-Ocean Parkway","36","047","Kings","Brooklyn","3","4014","Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway","Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",116,0,0,-0.140782126608357,0.181451604766153,"Not significant"
"BK42","Flatbush","36","047","Kings","Brooklyn","3","4015","Brooklyn Community District 14--Flatbush & Midwood","Brooklyn Community District 14--Flatbush & Midwood",66,0,0,0.0410644864472098,0.828914042202808,"Not significant"
"BK43","Midwood","36","047","Kings","Brooklyn","3","4015","Brooklyn Community District 14--Flatbush & Midwood","Brooklyn Community District 14--Flatbush & Midwood",66,0,0,0.193107047027069,0.495785702349992,"Not significant"
"BK44","Madison","36","047","Kings","Brooklyn","3","4016","Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest","Brooklyn Community District 15--Sheepshead Bay, Gerritsen Beach & Homecrest",110,0,0,-0.106479950627207,0.319117126620072,"Not significant"
"BK45","Georgetown-Marine Park-Bergen Beach-Mill Basin","36","047","Kings","Brooklyn","3","4009","Brooklyn Community District 18--Canarsie & Flatlands","Brooklyn Community District 18--Canarsie & Flatlands",128,0,0,-0.0891739140985787,0.0940845580438676,"Not significant"
"BK46","Ocean Parkway South","36","047","Kings","Brooklyn","3","4014","Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway","Brooklyn Community District 12--Borough Park, Kensington & Ocean Parkway",116,0,0,0.0797144532976339,0.394191614545881,"Not significant"
"BK50","Canarsie","36","047","Kings","Brooklyn","3","4009","Brooklyn Community District 18--Canarsie & Flatlands","Brooklyn Community District 18--Canarsie & Flatlands",128,0,0,0.0505858773274208,0.286151180458693,"Not significant"
"BK58","Flatlands","36","047","Kings","Brooklyn","3","4009","Brooklyn Community District 18--Canarsie & Flatlands","Brooklyn Community District 18--Canarsie & Flatlands",128,0,0,0.0585721511231922,0.141880550917821,"Not significant"
"BK60","Prospect Lefferts Gardens-Wingate","36","047","Kings","Brooklyn","3","4011","Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate","Brooklyn Community District 9--Crown Heights South, Prospect Lefferts & Wingate",59,0,0,0.0747156744970821,0.786612091613927,"Not significant"
